Security,ALSEA* MM Equity                                                
Start Date,08/01/2001 00:00
End Date,07/01/2019 00:00
Period,D
Currency,MXN
,
Date,PRECIO
19/12/2008,6.33
18/12/2008,6.29
17/12/2008,6.21
16/12/2008,6.09
15/12/2008,5.88
11/12/2008,5.86
10/12/2008,5.83
09/12/2008,5.84
08/12/2008,5.82
05/12/2008,5.73
04/12/2008,5.82
03/12/2008,5.8
02/12/2008,5.81
01/12/2008,5.75
28/11/2008,6.05
27/11/2008,5.99
26/11/2008,6.01
25/11/2008,5.92
24/11/2008,5.98
21/11/2008,5.88
20/11/2008,5.81
19/11/2008,6.41
18/11/2008,6.53
14/11/2008,7.52
13/11/2008,6.89
12/11/2008,6.71
11/11/2008,7.44
10/11/2008,7.69
07/11/2008,7.82
06/11/2008,7.44
05/11/2008,7.72
04/11/2008,7.83
03/11/2008,7.47
31/10/2008,6.83
30/10/2008,6.48
29/10/2008,6.31
28/10/2008,5.94
27/10/2008,5.58
24/10/2008,5.25
23/10/2008,5.77
22/10/2008,6.33
21/10/2008,6.77
20/10/2008,7.36
17/10/2008,6.86
16/10/2008,6.62
15/10/2008,6.83
14/10/2008,7.37
13/10/2008,7.79
10/10/2008,6.27
09/10/2008,6.42
08/10/2008,6.86
07/10/2008,6.97
06/10/2008,7.5
03/10/2008,8.11
02/10/2008,8.19
01/10/2008,8.01
30/09/2008,7.95
29/09/2008,8.54
26/09/2008,8.62
25/09/2008,8.74
24/09/2008,8.74
23/09/2008,8.86
22/09/2008,8.77
19/09/2008,9.09
18/09/2008,8.91
17/09/2008,8.87
15/09/2008,9.49
12/09/2008,9.73
11/09/2008,10.07
10/09/2008,10.27
09/09/2008,10.67
08/09/2008,10.54
05/09/2008,10.61
04/09/2008,10.91
03/09/2008,10.75
02/09/2008,10.98
01/09/2008,10.91
29/08/2008,10.97
28/08/2008,11.16
27/08/2008,10.69
26/08/2008,10.61
25/08/2008,10.77
22/08/2008,11.01
21/08/2008,11.2
20/08/2008,10.97
19/08/2008,11.14
18/08/2008,10.99
15/08/2008,11.45
14/08/2008,11.22
13/08/2008,11.01
12/08/2008,10.71
11/08/2008,10.65
08/08/2008,10.52
07/08/2008,10.32
06/08/2008,10.22
05/08/2008,10.4
04/08/2008,10.42
01/08/2008,10.72
31/07/2008,11.02
30/07/2008,10.5
29/07/2008,10.5
28/07/2008,10.46
25/07/2008,10.58
24/07/2008,10.39
23/07/2008,10.79
22/07/2008,10.73
21/07/2008,11.22
18/07/2008,11.4
17/07/2008,11.28
16/07/2008,11.15
15/07/2008,11.03
14/07/2008,11.36
11/07/2008,11.67
10/07/2008,12.08
09/07/2008,12.33
08/07/2008,12.57
07/07/2008,12.47
04/07/2008,12.66
03/07/2008,12.63
02/07/2008,12.58
01/07/2008,12.47
30/06/2008,12.62
27/06/2008,12.76
26/06/2008,12.8
25/06/2008,13.05
24/06/2008,12.94
23/06/2008,12.8
20/06/2008,12.76
19/06/2008,13.07
18/06/2008,13.1
17/06/2008,12.98
16/06/2008,13.03
13/06/2008,13.3
12/06/2008,13.43
11/06/2008,13.65
10/06/2008,13.83
09/06/2008,13.73
06/06/2008,13.53
05/06/2008,13.93
04/06/2008,13.51
03/06/2008,13.08
02/06/2008,12.96
30/05/2008,12.99
29/05/2008,13.07
28/05/2008,12.84
27/05/2008,12.84
26/05/2008,12.84
23/05/2008,13.08
22/05/2008,13.13
21/05/2008,13.11
20/05/2008,13.04
19/05/2008,13.08
16/05/2008,12.91
15/05/2008,12.49
14/05/2008,12.45
13/05/2008,12.39
12/05/2008,12.48
09/05/2008,12.41
08/05/2008,12.69
07/05/2008,13.06
06/05/2008,13.26
05/05/2008,13.32
02/05/2008,13.38
30/04/2008,13.26
29/04/2008,13.3
28/04/2008,13.46
25/04/2008,13.57
24/04/2008,13.73
23/04/2008,13.92
22/04/2008,13.9
21/04/2008,13.98
18/04/2008,12.73
17/04/2008,12.61
16/04/2008,12.81
15/04/2008,12.68
14/04/2008,12.61
11/04/2008,12.79
10/04/2008,12.65
09/04/2008,12.65
08/04/2008,12.69
07/04/2008,12.64
04/04/2008,12.48
03/04/2008,12.54
02/04/2008,12.62
01/04/2008,12.63
31/03/2008,12.5
28/03/2008,11.82
27/03/2008,11.74
26/03/2008,11.6
25/03/2008,11.72
24/03/2008,11.74
19/03/2008,11.72
18/03/2008,11.76
14/03/2008,11.73
13/03/2008,11.97
12/03/2008,11.96
11/03/2008,11.89
10/03/2008,11.54
07/03/2008,11.53
06/03/2008,11.5
05/03/2008,11.65
04/03/2008,11.7
03/03/2008,11.87
29/02/2008,12.32
28/02/2008,12.42
27/02/2008,12.52
26/02/2008,12.55
25/02/2008,12.44
22/02/2008,12.44
21/02/2008,12.44
20/02/2008,12.61
19/02/2008,12.48
18/02/2008,12.29
15/02/2008,12.24
14/02/2008,12.34
13/02/2008,12.65
12/02/2008,12.76
11/02/2008,13
08/02/2008,12.91
07/02/2008,12.92
06/02/2008,12.33
05/02/2008,12.94
01/02/2008,13.35
31/01/2008,13.32
30/01/2008,12.34
29/01/2008,11.55
28/01/2008,11.26
25/01/2008,11.38
24/01/2008,11.95
23/01/2008,11.67
22/01/2008,11.88
21/01/2008,11.49
18/01/2008,12.27
17/01/2008,12.42
16/01/2008,12.5
15/01/2008,13.09
14/01/2008,13.58
11/01/2008,13.29
10/01/2008,13.41
09/01/2008,13.42
08/01/2008,13.78
07/01/2008,14.21
04/01/2008,14.23
03/01/2008,14.45
02/01/2008,14.22
31/12/2007,14.67
28/12/2007,14.71
27/12/2007,14.67
26/12/2007,14.88
24/12/2007,14.82
21/12/2007,14.6
20/12/2007,14.31
19/12/2007,14.48
18/12/2007,14.25
17/12/2007,13.9
14/12/2007,14.02
13/12/2007,13.76
11/12/2007,13.9
10/12/2007,14.16
07/12/2007,13.37
06/12/2007,13.3
05/12/2007,13.51
04/12/2007,13.3
03/12/2007,13.55
30/11/2007,13.62
29/11/2007,13.17
28/11/2007,13.4
27/11/2007,13.1
