Security;AMXL MM Equity                                                   ;
Start Date;07/02/2001 0:00;
End Date;11/07/2018 0:00;
Period;D;
Currency;MXN;
;;
Date;PX_LAST;PX_VOLUME
20/01/2006;8,01;39962000
19/01/2006;8,16;59092000
18/01/2006;8,02;70653800
17/01/2006;8;106711800
16/01/2006;8,41;5043200
13/01/2006;8,38;23733000
12/01/2006;8,33;44021000
11/01/2006;8,42;46387400
10/01/2006;8,22;43334000
09/01/2006;8,32;49390200
06/01/2006;8,12;28104000
05/01/2006;8,02;45017800
04/01/2006;8,1;83505800
03/01/2006;7,84;91031400
02/01/2006;7,43;10159800
30/12/2005;7,38;31412000
29/12/2005;7,5;28086200
28/12/2005;7,37;20081600
27/12/2005;7,49;16934400
26/12/2005;7,53;2587000
23/12/2005;7,54;16002000
22/12/2005;7,54;42350800
21/12/2005;7,64;50567200
20/12/2005;7,72;38657200
19/12/2005;7,62;43844200
16/12/2005;7,61;131700600
15/12/2005;7,68;71383000
14/12/2005;7,89;52374800
13/12/2005;7,81;51947200
09/12/2005;7,72;61448400
08/12/2005;7,46;48102200
07/12/2005;7,52;40701600
06/12/2005;7,66;64915800
05/12/2005;7,52;60503400
02/12/2005;7,39;64386600
01/12/2005;7,35;70676800
30/11/2005;7,17;61595200
29/11/2005;7,14;43212200
28/11/2005;7,3;44726000
25/11/2005;7,23;13991400
24/11/2005;7,21;5612200
23/11/2005;7,2;84080600
22/11/2005;7,4;34652400
21/11/2005;7,26;76366600
18/11/2005;7,08;50841200
17/11/2005;7,02;81005400
16/11/2005;6,92;53382000
15/11/2005;6,84;56683400
14/11/2005;6,93;49257400
11/11/2005;6,79;44567000
10/11/2005;6,73;62345000
09/11/2005;6,66;37318400
08/11/2005;6,68;33211800
07/11/2005;6,68;52346600
04/11/2005;6,69;51604000
03/11/2005;6,73;48445000
02/11/2005;6,76;62721000
01/11/2005;6,82;103620000
31/10/2005;6,71;99390600
28/10/2005;6,59;62366400
27/10/2005;6,45;59755200
26/10/2005;6,58;174848000
25/10/2005;6,32;121748400
24/10/2005;6,26;113060400
21/10/2005;5,94;55779200
20/10/2005;5,91;55550800
19/10/2005;6,07;118605000
18/10/2005;6,09;51029800
17/10/2005;6,15;75487200
14/10/2005;5,96;73158600
13/10/2005;5,99;62544600
12/10/2005;6,02;88825200
11/10/2005;6,27;51543000
10/10/2005;6,23;52419600
07/10/2005;6,35;91607000
06/10/2005;6,2;74490000
05/10/2005;6,51;61072400
04/10/2005;6,58;47601000
03/10/2005;6,61;47128400
30/09/2005;6,73;69908000
29/09/2005;6,54;37680000
28/09/2005;6,61;61029400
27/09/2005;6,56;64661800
26/09/2005;6,55;46332000
23/09/2005;6,46;38313200
22/09/2005;6,45;65938200
21/09/2005;6,47;75033800
20/09/2005;6,24;70296000
19/09/2005;6,21;53119800
15/09/2005;6,11;53211000
14/09/2005;6,02;49022000
13/09/2005;5,95;37947200
12/09/2005;6,05;26365200
09/09/2005;6,09;24988400
08/09/2005;6,07;50623000
07/09/2005;6,19;51112600
06/09/2005;6,14;54558800
05/09/2005;6,1;8446600
02/09/2005;6,05;57469400
01/09/2005;5,83;82182000
31/08/2005;5,61;72407200
30/08/2005;5,52;103099800
29/08/2005;5,68;55434400
26/08/2005;5,67;59844800
25/08/2005;5,73;32578400
24/08/2005;5,65;48067800
23/08/2005;5,7;42863600
22/08/2005;5,75;42244200
19/08/2005;5,69;45031600
18/08/2005;5,64;50855400
17/08/2005;5,54;59600000
16/08/2005;5,51;54017600
15/08/2005;5,67;40717400
12/08/2005;5,61;46166800
11/08/2005;5,74;47141400
10/08/2005;5,69;61272000
09/08/2005;5,63;42757000
08/08/2005;5,61;52011200
05/08/2005;5,49;37432600
04/08/2005;5,52;47568000
03/08/2005;5,56;54450800
02/08/2005;5,67;61977000
01/08/2005;5,72;109348200
29/07/2005;5,59;138803600
28/07/2005;5,32;104001600
27/07/2005;5,22;79459000
26/07/2005;5,25;55456400
25/07/2005;5,25;60481600
22/07/2005;5,39;41372000
21/07/2005;5,34;35922000
20/07/2005;5,39;60059400
19/07/2005;5,33;63423200
18/07/2005;5,18;25570600
15/07/2005;5,19;26049600
14/07/2005;5,29;54115200
13/07/2005;5,24;59687400
12/07/2005;5,21;50832000
11/07/2005;5,09;45072600
08/07/2005;5,14;63762600
07/07/2005;5,21;67401000
06/07/2005;5,17;63150000
05/07/2005;5,11;48045000
04/07/2005;5,06;3623400
01/07/2005;5,06;38499600
30/06/2005;5,07;51748200
29/06/2005;5,09;40531200
28/06/2005;5,1;131855400
27/06/2005;5,12;90156600
24/06/2005;5;32088600
23/06/2005;5,01;65872800
22/06/2005;5,05;83323800
21/06/2005;5,15;64522200
20/06/2005;5,24;48410400
17/06/2005;5,19;44725200
16/06/2005;5,1;53524200
15/06/2005;5,12;63596400
14/06/2005;5,03;61656600
13/06/2005;4,91;27204600
